Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
Kürbiskernöl,pro 100 ml,3330,810,90,14.8,25.6,44.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Kürbisscheiben, paniert, zubereitet",pro 100g essbarer Anteil,583,139,5.8,0.8,3.6,0.8,47,16.7,4.1,12.5,1.6,4.3,0.2,71.8,,,,,,,,,,,,,,,,,,,,,59,0.7,5.8,1,k.A.
"Lachs, geräuchert",pro 100g essbarer Anteil,698,167,8.2,1.8,2.7,2.7,50,0,0,0,0,23.2,4.1,62.5,,,,,,,,,,,,,,,,,,,,,310,0,56,0.4,k.A.
"Lachs, Wildfang, roh",pro 100g essbarer Anteil,760,182,11.5,1.8,4.4,1.9,50,0,0,0,0,19.7,0.2,65,,,,,,,,,,,,,,,,,,,,,260,0.4,53,0.4,k.A.
"Lachs, Zucht, Filet, gedämpft (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,751,180,11.7,1.9,4.3,2.2,83,0,0,0,0,18.7,0.2,69.6,,,,,,,,,,,,,,,,,,,,,260,0.4,49,0.5,k.A.
"Lachs, Zucht, roh",pro 100g essbarer Anteil,834,200,13.4,2.2,4.9,2.5,66,0,0,0,0,19.9,0.1,67,,,,,,,,,,,,,,,,,,,,,250,0.4,44,0.4,k.A.
"Lamm, Filet, medium"" gebraten (ohne Zusatz von Fett und Salz)""",pro 100g essbarer Anteil,573,136,3.6,1.4,1.6,0.2,88,0,0,0,0,25.8,0.2,70.5,,,,,,,,,,,,,,,,,,,,,220,2.4,0.9,4.3,5.5
"Lamm, Filet, roh",pro 100g essbarer Anteil,473,112,3.4,1.3,1.5,0.2,66,0,0,0,0,20.4,0.2,75.1,,,,,,,,,,,,,,,,,,,,,190,1.9,0.7,3.2,4.1
"Lamm, Gigot, gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,849,203,9.8,5.2,4.5,1.1,97,0,0,k.A.,0,28.6,0.2,61.6,,,,,,,,,,,,,,,,,,,,,240,2.3,1.2,5.4,7
"Lamm, Gigot, roh (Schweiz, Neuseeland)",pro 100g essbarer Anteil,647,155,8.2,4.4,3.7,0.9,65,0,0,k.A.,0,20.2,0.2,69.1,,,,,,,,,,,,,,,,,,,,,190,1.6,0.8,3.6,4.7
"Lamm, Kotelett, roh (Schweiz)",pro 100g essbarer Anteil,747,179,10.9,5.2,4,0.9,72,0,0,k.A.,0,20.2,0.2,65.4,,,,,,,,,,,,,,,,,,,,,180,1.5,0.9,2.1,7
"Lamm, Nierstück, roh (Australien, Neuseeland)",pro 100g essbarer Anteil,493,117,3.3,1.9,1.9,0.4,72,0,0,k.A.,0,21.8,0.1,73,,,,,,,,,,,,,,,,,,,,,200,1.9,0.8,2.3,8.7
"Lamm, Racks, roh (Australien, Neuseeland)",pro 100g essbarer Anteil,652,156,8.3,4.3,3.5,0.9,68,0,0,k.A.,0,20.3,0.2,67.6,,,,,,,,,,,,,,,,,,,,,180,1.8,0.9,2.2,k.A.
"Lamm, Voressen, roh (Schweiz)",pro 100g essbarer Anteil,644,154,8.4,4.3,3.7,1,66,0,0,k.A.,0,19.6,0.2,69.9,,,,,,,,,,,,,,,,,,,,,170,1.3,0.7,4.3,k.A.
"Lamm/Schaf (Durchschnitt exkl. Innereien, Kotelett), roh",pro 100g essbarer Anteil,564,134,5.8,3,2.7,0.6,67,0,0,0,0,20.5,0.1,73.7,,,,,,,,,,,,,,,,,,,,,190,1.7,0.7,3.3,k.A.
"Lammragout mit Sauce, zubereitet",pro 100g essbarer Anteil,468,112,6.1,2.2,3.3,0.8,38,3,1.5,1.5,0.6,11.1,0.8,79.3,,,,,,,,,,,,,,,,,,,,,85,0.8,0.9,2.5,k.A.
Landjäger,pro 100g essbarer Anteil,2030,491,42.7,16.9,19.1,3.5,86,0,0,0,0,26.6,3.5,26.6,,,,,,,,,,,,,,,,,,,,,180,1.9,k.A.,3.9,11
"Latte macchiato, ungezuckert",pro 100 ml,198,47,2.8,1.7,0.7,0.1,11,3.2,3.2,0,0,2.2,0.1,91.6,,,,,,,,,,,,,,,,,,,,,63,0,6.6,0.3,k.A.
"Lattich, roh",pro 100g essbarer Anteil,66,16,0.3,0,0,0.2,0,1.3,1.3,Sp.,1.5,1.2,0,94.5,,,,,,,,,,,,,,,,,,,,,24,0.3,3.3,Sp.,k.A.
"Lauch, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,129,31,0.3,0,0,0.2,0,3.9,3.7,0.2,3,1.7,0,91.2,,,,,,,,,,,,,,,,,,,,,37,0.9,9.2,0.3,k.A.
"Lauch, roh",pro 100g essbarer Anteil,124,30,0.3,Sp.,Sp.,0.2,0,3.7,3.5,0.2,2.8,1.6,0,90.5,,,,,,,,,,,,,,,,,,,,,35,0.9,8.6,0.3,k.A.
Laugenbrötli (mit jodiertem Kochsalz),pro 100g essbarer Anteil,1190,282,4.9,0.9,1.8,1.9,1,48.9,2.2,46.2,2.3,9.3,1.5,35.3,,,,,,,,,,,,,,,,,,,,,89,0.5,39,0.6,k.A.
"Laugengebäck trocken (Bretzel, Sticks)",pro 100g essbarer Anteil,1530,361,4.1,1,1.6,1.2,0,72.1,0.4,71.4,0.7,8.6,4.3,14.5,,,,,,,,,,,,,,,,,,,,,120,0.7,0,0.5,k.A.
Laugengipfeli (mit jodiertem Kochsalz),pro 100g essbarer Anteil,1770,423,25,14.7,5.8,1.5,76,39.4,1.3,37.6,1.9,9.1,4.1,25.1,,,,,,,,,,,,,,,,,,,,,68,0.4,100,0.5,1.9
"Leber (Durchschnitt aus Rind, Kalb, Schwein), gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,660,157,5,1.7,0.8,1.3,430,4.4,0,0.4,0,23.5,0.2,67.1,,,,,,,,,,,,,,,,,,,,,360,13,13,5.3,k.A.
"Leber (Durchschnitt aus Rind, Kalb, Schwein), roh",pro 100g essbarer Anteil,566,134,4.3,1.5,0.7,1.1,353,3.6,0,0.3,0,20.3,0.2,71.8,,,,,,,,,,,,,,,,,,,,,360,11,10,5.1,k.A.
Leberwurst,pro 100g essbarer Anteil,1050,253,19.1,7.2,8.7,2.2,111,0.5,0.3,0.2,0.1,19.8,2.2,60.5,,,,,,,,,,,,,,,,,,,,,130,3.6,4.3,2,k.A.
Lebkuchen,pro 100g essbarer Anteil,1700,404,13.8,1.4,7.9,3.6,27,61.6,41.2,19.6,4.2,6.5,0.3,12.1,,,,,,,,,,,,,,,,,,,,,200,1.9,2.2,0.9,k.A.
Lebkuchen mit Schokoladeüberzug,pro 100g essbarer Anteil,1860,444,18.9,6.8,8.7,2.9,22,60.2,45.4,13.9,3.5,6.5,0.4,10.9,,,,,,,,,,,,,,,,,,,,,210,2,6.6,1.1,k.A.
"Leinöl, kaltgepresst",pro 100 ml,3330,810,90,8.6,17.1,60.3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.9,0,0,0.1,0
Leinsamen,pro 100g essbarer Anteil,2200,533,42.2,4.6,8.3,27.2,0,3.6,1.4,<0.4,26.9,21.3,0.1,5.8,,,,,,,,,,,,,,,,,,,,,530,6.3,2,4.3,k.A.
Lemon Curd,pro 100g essbarer Anteil,1340,320,16,8,4.4,1.3,203,37.5,37.5,0,0.1,6.4,0.2,40,,,,,,,,,,,,,,,,,,,,,97,0.9,18,0.6,k.A.
Limburger (Münster),pro 100g essbarer Anteil,1140,273,21.4,12.8,5,0.9,64,0,0,0,0,20,1.9,55.9,,,,,,,,,,,,,,,,,,,,,220,0.1,20,1.9,k.A.
"Limonade, mit Aroma, gezuckert",pro 100 ml,162,38,0,0,0,0,0,9.5,9.5,0,0,0,0,90,,,,,,,,,,,,,,,,,,,,,1,0.1,1.8,0,k.A.
"Linse, ganz, gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,484,115,0.5,0.1,0.1,0.2,0,15.6,0.4,15.2,6.2,8.8,0,68.9,,,,,,,,,,,,,,,,,,,,,130,2.5,0.3,1.2,k.A.
"Linse, ganz, getrocknet",pro 100g essbarer Anteil,1370,324,1.5,0.2,0.3,0.6,0,44.8,1.1,43.7,17,24.4,0,9.7,,,,,,,,,,,,,,,,,,,,,400,8,0.7,3.6,k.A.
"Linse, geschält, gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,568,134,0.6,0.1,0.1,0.2,0,19,0.9,17.1,4.3,11,0,65,,,,,,,,,,,,,,,,,,,,,150,2,0.3,1.1,k.A.
"Linse, geschält, getrocknet",pro 100g essbarer Anteil,1410,334,1.5,0.3,0.3,0.5,0,48,2.2,43.3,10.4,27,0,10.9,,,,,,,,,,,,,,,,,,,,,390,5.6,0.7,3,k.A.
Linzertorte,pro 100g essbarer Anteil,1770,424,23.6,9.2,10.4,2.5,97,43.7,25.9,17.7,3.7,7.5,0.2,20.3,,,,,,,,,,,,,,,,,,,,,160,1.5,3.1,1,k.A.
Löffelbiscuit,pro 100g essbarer Anteil,1740,413,8.3,2.4,3.2,1.2,281,71.8,34.9,36.8,1.4,12.2,0.8,5,,,,,,,,,,,,,,,,,,,,,330,2.1,8,1.4,k.A.
Luganighe,pro 100g essbarer Anteil,1940,468,43.9,16.3,20.7,4.5,67,0.5,0.5,0,0,17.4,2.5,38,,,,,,,,,,,,,,,,,,,,,99,1.1,1.1,2,k.A.
Lyoner,pro 100g essbarer Anteil,1010,244,21.8,8.2,10.2,1.6,46,0.5,0.5,0,0,11.5,2.1,62.9,,,,,,,,,,,,,,,,,,,,,180,0.5,k.A.,1.3,6.1
Madeleine,pro 100g essbarer Anteil,1450,346,11.6,6.3,2.9,1,82,52.2,22.3,29.6,1.4,7.5,0.3,27.7,,,,,,,,,,,,,,,,,,,,,79,0.5,8.5,0.5,4.5
"Magermilch, UHT",pro 100 ml,139,33,0.1,0.1,0,0,0,4.7,4.7,0,0,3.3,0.1,90.8,,,,,,,,,,,,,,,,,,,,,97,0,3.1,0.4,0.9
Magermilchpulver,pro 100g essbarer Anteil,1480,348,1,0.6,0.2,0,3,50.5,50.5,0,0,34.3,1.4,3.5,,,,,,,,,,,,,,,,,,,,,1020,0.8,36,4.1,12
Mailänderli,pro 100g essbarer Anteil,1800,431,20.8,11.6,5.1,1.5,124,53.2,22.5,30.4,1.4,7.1,0.1,18,,,,,,,,,,,,,,,,,,,,,96,1,7.9,0.8,5.1
Mais-Chips (Apérogebäck),pro 100g essbarer Anteil,2130,509,27.2,6.6,11.4,8.1,0,56,2.4,53.6,4.4,7.8,2.4,2,,,,,,,,,,,,,,,,,,,,,130,1.9,Sp.,Sp.,k.A.
"Mais, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,421,100,1.3,0.2,0.3,0.5,0,16.9,3.7,13.3,3,3.5,0,75.2,,,,,,,,,,,,,,,,,,,,,90,0.4,3.6,0.6,k.A.
"Mais, roh",pro 100g essbarer Anteil,391,93,1.2,0.2,0.3,0.5,0,15.7,3.4,12.3,2.8,3.3,0,74.7,,,,,,,,,,,,,,,,,,,,,83,0.4,3.3,0.6,k.A.
"Maisgriess, gekocht",pro 100g essbarer Anteil,336,79,0.2,0,0.1,0.1,0,16.7,0.3,16.3,1.1,2,0.6,80,,,,,,,,,,,,,,,,,,,,,17,0.2,0.7,0.1,k.A.
"Maisgriess, trocken",pro 100g essbarer Anteil,1480,350,1.1,0.1,0.4,0.4,0,73.8,1.5,72,5,8.8,0,11,,,,,,,,,,,,,,,,,,,,,73,1,2.5,0.4,k.A.
Maiskeimöl,pro 100 ml,3330,810,90,11,24.8,49.9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Maiskölbchen, in Essig eingelegt",pro 100g essbarer Anteil,500,119,1.4,0.2,0.4,0.6,0,21,2,19,4.2,3.4,0,69.3,,,,,,,,,,,,,,,,,,,,,100,0.6,Sp.,Sp.,k.A.
Maisstärke,pro 100g essbarer Anteil,1510,354,Sp.,Sp.,Sp.,Sp.,0,88,Sp.,88,0.6,0.3,0,11,,,,,,,,,,,,,,,,,,,,,22,0.5,2.5,0.6,k.A.
"Malzgetränk mit Kakao, Vitamine und Mineralien angereichert, pulver",pro 100g essbarer Anteil,1620,382,3.6,2.4,1.1,0.1,4,76.2,52.1,0,4.4,8.9,0.5,5.2,,,,,,,,,,,,,,,,,,,,,470,12,2.8,1.5,k.A.
"Malzgetränk mit Kakao, Vitamine und Mineralien angereichert, zubereitet (mit Milch)",pro 100g essbarer Anteil,354,84,3.4,2.1,0.8,0.2,12,9.6,8,0,0.3,3.6,0.1,82.8,,,,,,,,,,,,,,,,,,,,,120,0.8,9.1,0.4,k.A.
"Mandarine, roh",pro 100g essbarer Anteil,201,47,0.2,Sp.,Sp.,Sp.,0,10,10,0,1.4,0.7,0,86.9,,,,,,,,,,,,,,,,,,,,,15,0.4,0.8,0.1,k.A.
Mandel,pro 100g essbarer Anteil,2580,624,52.1,4.1,31.4,11.4,0,7.8,6.6,0.6,10.6,25.6,0,3.3,,,,,,,,,,,,,,,,,,,,,510,3.3,0.2,3.3,2.2
"Mandel, geröstet, gesalzen",pro 100g essbarer Anteil,2680,649,55.2,4.2,34.8,13.5,0,7.2,4.6,0.6,10.5,25.6,0.8,2.8,,,,,,,,,,,,,,,,,,,,,470,3.3,2.4,3.1,2
"Mandel, ohne Fett geröstet, gesalzen",pro 100g essbarer Anteil,2630,637,52.5,4.1,33.1,13,0,10.1,4.9,0.7,10.9,25.4,0.6,2.4,,,,,,,,,,,,,,,,,,,,,470,3.7,2.4,3.3,2
"Mango, getrocknet",pro 100g essbarer Anteil,1240,293,2.2,0.5,0.9,0.4,0,61.1,59.9,1.3,8.4,2.9,0.1,20,,,,,,,,,,,,,,,,,,,,,64,2,8,0.6,2
"Mango, roh",pro 100g essbarer Anteil,264,62,0.2,0.1,0.1,0,0,13.4,13.1,0.3,2.3,0.6,0,83,,,,,,,,,,,,,,,,,,,,,22,1.2,1,0.1,k.A.
"Mangold, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,121,29,0.3,0,0,0,0,3.4,0.6,2.8,1.2,2.6,0.5,92.5,,,,,,,,,,,,,,,,,,,,,54,2.4,1.3,0.4,k.A.
"Mangold, roh",pro 100g essbarer Anteil,97,23,0.2,Sp.,Sp.,Sp.,0,2.7,0.5,2.2,1,2.1,0.4,92.4,,,,,,,,,,,,,,,,,,,,,43,2.3,1,0.3,k.A.
"Maniok, Wurzelknolle, gekocht (ohne Zugabe von Salz)",pro 100g essbarer Anteil,554,131,0.2,0.1,0.1,0,0,29.8,0.4,29.4,2.8,1,0,62.8,,,,,,,,,,,,,,,,,,,,,35,0.7,1.8,0.3,0.6
"Maniok, Wurzelknolle, roh",pro 100g essbarer Anteil,594,140,0.2,0.1,0.1,0,0,32.1,0.5,31.6,2.9,1,0,62.8,,,,,,,,,,,,,,,,,,,,,38,0.7,2,0.3,0.7
Margarine,pro 100g essbarer Anteil,2980,724,80,22.3,37.3,14,0,<0.5,0,<0.5,0,<0.5,0.2,20,,,,,,,,,,,,,,,,,,,,,23,0.1,1.5,0,0
Marmorkuchen,pro 100g essbarer Anteil,1490,356,17.1,9.5,4.3,1.2,109,42.6,19.7,22.7,1.3,7.4,0.2,32,,,,,,,,,,,,,,,,,,,,,110,1,10,0.8,k.A.
Marzipan,pro 100g essbarer Anteil,1990,474,17.6,1.5,12,3.3,Sp.,68.6,68.6,0,4.9,8,0,1.9,,,,,,,,,,,,,,,,,,,,,150,1.5,0.7,0.9,k.A.
Mascarpone,pro 100g essbarer Anteil,1790,435,44.5,29.5,11.7,1.9,123,4.1,4.1,0,0,4.5,0.2,46.2,,,,,,,,,,,,,,,,,,,,,97,0.2,29,0.4,k.A.
Mayonnaise,pro 100g essbarer Anteil,3050,742,81.7,12.1,23.3,42.5,150,0.5,0.5,Sp.,0,1.1,1,14.7,,,,,,,,,,,,,,,,,,,,,46,0.6,6,0.2,k.A.
"Mayonnaise, kalorienvermindert",pro 100g essbarer Anteil,1350,327,34.5,4.6,6.7,19.6,131,3.3,Sp.,Sp.,0,0.9,0.7,59.4,,,,,,,,,,,,,,,,,,,,,140,1,5.3,0.6,k.A.
"Mayonnaise, mit Rapsöl, hausgemacht",pro 100g essbarer Anteil,3260,792,86.9,7.3,50.9,22.9,184,0.2,0.2,0,0,2.4,0.4,10.5,,,,,,,,,,,,,,,,,,,,,82,0.8,17,0.6,8.9
Mehl (Durchschnitt),pro 100g essbarer Anteil,1450,343,1.4,0.3,0.2,0.8,0,67.8,0.4,66.8,4.7,12.4,0,14.8,,,,,,,,,,,,,,,,,,,,,150,1.9,1.1,1.4,3.9
"Mehl, hell (Durchschnitt)",pro 100g essbarer Anteil,1460,344,1.3,0.3,0.2,0.7,0,68.9,0.4,67.9,3.8,12.2,0,14.9,,,,,,,,,,,,,,,,,,,,,120,1.5,0.9,1.1,3.5
"Mehlomeletten mit Champignonfüllung, zubereitet",pro 100g essbarer Anteil,522,125,6.2,3.1,1.6,0.6,63,10.9,1.3,9.2,1.5,5.7,0.6,76.5,,,,,,,,,,,,,,,,,,,,,110,0.9,17,0.6,k.A.
"Mehlomeletten mit Gemüsefüllung, zubereitet",pro 100g essbarer Anteil,572,136,5.1,1.8,1.9,0.7,79,16.2,2.6,13.4,1.4,5.8,0.6,71.7,,,,,,,,,,,,,,,,,,,,,79,0.7,11,0.5,k.A.
"Mehlomeletten mit Käse, zubereitet",pro 100g essbarer Anteil,814,194,8.9,4.4,2.4,0.9,111,18.2,1.3,16.8,0.8,10,0.9,62.3,,,,,,,,,,,,,,,,,,,,,160,0.7,14,1,k.A.
"Mehlomeletten mit Nutella, zubereitet",pro 100g essbarer Anteil,1080,258,12.3,4.7,5.1,1.5,84,29.1,14.4,14.4,1.4,7.2,0.6,50.4,,,,,,,,,,,,,,,,,,,,,110,0.8,12,0.7,k.A.
"Mehlomeletten mit Schinken, zubereitet",pro 100g essbarer Anteil,653,155,5.1,2.1,1.6,0.7,101,17.3,1.3,15.8,0.8,9.7,1,67.4,,,,,,,,,,,,,,,,,,,,,130,0.7,13,0.8,k.A.
"Mehlomeletten mit Speck, zubereitet",pro 100g essbarer Anteil,787,188,8.9,3.5,3.4,1,102,17.3,1.3,15.8,0.8,9.3,1.1,64,,,,,,,,,,,,,,,,,,,,,110,0.7,12,0.8,k.A.
"Mehlomeletten mit Zimt und Zucker, zubereitet",pro 100g essbarer Anteil,744,177,5.3,2.2,1.6,0.7,106,24.5,6.5,17.9,0.8,7.2,0.8,62.3,,,,,,,,,,,,,,,,,,,,,94,0.7,14,0.6,6.7
"Mehlomeletten, zubereitet",pro 100g essbarer Anteil,692,165,5.6,2.3,1.7,0.8,112,20.4,1.4,18.8,0.9,7.6,0.8,65.7,,,,,,,,,,,,,,,,,,,,,99,0.7,14,0.6,7
"Melasse, Melassesirup",pro 100g essbarer Anteil,1160,274,0,0,0,0,0,67.2,67.2,0,0,1.2,0.2,25.4,,,,,,,,,,,,,,,,,,,,,31,9.2,0,0.9,k.A.
Meringue,pro 100g essbarer Anteil,1700,401,0.5,0,0,0,0,94,94,0,0,5,0.3,1,,,,,,,,,,,,,,,,,,,,,22,0.2,Sp.,Sp.,k.A.
"Miesmuschel, roh",pro 100g essbarer Anteil,357,85,2.7,0.5,0.6,0.6,108,3.4,Sp.,0,0,11.7,0.7,82.1,,,,,,,,,,,,,,,,,,,,,240,5.8,130,1.6,k.A.
Milch (Durchschnitt),pro 100 ml,259,62,3.4,2,0.8,0.2,13,4.6,4.6,0,0,3.2,0.1,88.7,,,,,,,,,,,,,,,,,,,,,92,0,9.5,0.4,1.1
"Milchkaffee dunkel, ungezuckert",pro 100 ml,65,16,0.9,0.5,0.2,0,3,1.2,1,0,0.1,0.7,0,97.1,,,,,,,,,,,,,,,,,,,,,21,0,2.1,0.1,k.A.
"Milchkaffee hell, ungezuckert",pro 100 ml,90,22,1.2,0.8,0.3,0.1,5,1.6,1.4,0,0.1,1,0,96.1,,,,,,,,,,,,,,,,,,,,,29,0,3,0.1,k.A.
"Milchkaffee, ungezuckert",pro 100 ml,81,19,1.1,0.7,0.3,0.1,4,1.4,1.3,0,0.1,0.9,0,96.5,,,,,,,,,,,,,,,,,,,,,26,0,2.6,0.1,k.A.
"Milchreis, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,544,129,3.5,2.1,0.8,0.2,14,19,5.6,13.4,0.2,5.3,0.2,72,,,,,,,,,,,,,,,,,,,,,130,0.1,13,0.6,3.8
"Milchreis, zubereitet (mit Vollmilch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,600,143,5.1,3.1,1.2,0.3,19,19,5.6,13.4,0.2,5.1,0.2,70.6,,,,,,,,,,,,,,,,,,,,,130,0.1,12,0.6,3.6
Milchschokolade,pro 100g essbarer Anteil,2240,537,31.1,19.3,10.4,1.2,12,56.9,55.2,0.6,1.9,6.5,0.5,1.3,,,,,,,,,,,,,,,,,,,,,240,2.1,17,1.6,k.A.
Milchschokolade mit Alkoholfüllung,pro 100g essbarer Anteil,2040,488,23.1,13.6,6.9,1.2,10,59,58.3,0.8,2.9,5.6,0.1,7.6,,,,,,,,,,,,,,,,,,,,,160,1.3,4.1,1,k.A.
"Milchschokolade mit Crèmefüllung (Gianduja, Nougat)",pro 100g essbarer Anteil,2390,573,38.3,18.5,14.5,2.8,10,47.6,46.4,0.5,3.4,7.9,0.1,3.7,,,,,,,,,,,,,,,,,,,,,190,1.3,4.1,1.2,k.A.
Milchschokolade mit Mandel-Honig-Nougat,pro 100g essbarer Anteil,2240,536,31.5,18.2,9.7,1.6,15,54.8,54.3,0.4,1.8,7.3,0.2,4.8,,,,,,,,,,,,,,,,,,,,,210,0.9,6.3,1.1,k.A.
Milchschokolade mit Nüssen,pro 100g essbarer Anteil,2370,570,38.2,16.7,16.9,2.5,11,46.1,44.4,0.4,3.2,8.8,0.2,4.3,,,,,,,,,,,,,,,,,,,,,220,1.3,6.5,1.4,k.A.
"Milchschokolade mit Weinbeeren, Nüssen und Mandeln",pro 100g essbarer Anteil,2140,513,28.9,14.5,11,1.5,10,52.6,51,0.9,4.5,8.4,0.2,6.4,,,,,,,,,,,,,,,,,,,,,230,1.9,5,1.3,k.A.
Minestrone,pro 100g essbarer Anteil,221,53,1.8,0.7,0.7,0.2,1,7,2.6,4.3,0.4,2,1,87.6,,,,,,,,,,,,,,,,,,,,,20,0.3,k.A.,k.A.,k.A.
Minipic Würstchen,pro 100g essbarer Anteil,1900,460,39.1,15.4,18.7,3.8,97,0.8,0.8,0,0,26.1,4.5,26.4,,,,,,,,,,,,,,,,,,,,,330,3,k.A.,3.9,13
"Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,226,54,0.2,0,0,0,0,11,11,0,2.1,0.8,0,85.8,,,,,,,,,,,,,,,,,,,,,30,0.5,1.1,0.1,k.A.
"Mirabelle, roh",pro 100g essbarer Anteil,242,57,0.2,Sp.,Sp.,Sp.,0,12,12,0,2.3,0.7,0,82.7,,,,,,,,,,,,,,,,,,,,,33,0.5,1,0.1,k.A.
"Molke, süss",pro 100 ml,102,24,0.2,0.1,0.1,0,1,4.7,4.7,0,0,0.8,0.1,93.6,,,,,,,,,,,,,,,,,,,,,40,0.1,8,0.1,k.A.
"Morchel, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,139,34,0.4,0.1,0,0.2,0,0.6,0.1,0,8.5,2.8,0,88.5,,,,,,,,,,,,,,,,,,,,,190,1.2,12,0.5,k.A.
"Morchel, roh",pro 100g essbarer Anteil,119,29,0.3,0.1,0,0.2,0,0.5,0.1,0,7,2.5,0,90,,,,,,,,,,,,,,,,,,,,,160,1.2,10,0.5,k.A.
Mortadella,pro 100g essbarer Anteil,1300,314,27.3,10.2,12.4,2.8,75,0.8,0.8,0,0,16.1,2.1,55.7,,,,,,,,,,,,,,,,,,,,,170,0.9,1.5,1.3,k.A.
Mostbröckli,pro 100g essbarer Anteil,633,150,1.9,0.9,0.9,0.2,69,0.5,0.5,0,0,32.6,4.7,58.4,,,,,,,,,,,,,,,,,,,,,300,3.3,Sp.,5.9,14
Mozzarella,pro 100g essbarer Anteil,1060,256,19.5,11.4,6,0.7,46,0.7,0.7,0,0,19.5,0.4,58.8,,,,,,,,,,,,,,,,,,,,,350,0.1,4.8,2.6,k.A.
"Mürbeteig (mit Butter), süss, gebacken",pro 100g essbarer Anteil,2210,530,28.6,16.3,6.9,1.9,126,57.3,13.2,43.6,2,9.8,0.9,3,,,,,,,,,,,,,,,,,,,,,120,1.3,7,1,4.9
"Mürbeteig (mit Butter), süss, ungebacken",pro 100g essbarer Anteil,1770,424,22.9,13.1,5.5,1.5,101,45.8,10.5,34.9,1.6,7.8,0.7,22.4,,,,,,,,,,,,,,,,,,,,,92,1,5.6,0.8,3.9
"Mürbeteig (mit pflanzlichem Fett), süss, gebacken",pro 100g essbarer Anteil,2190,523,27.9,7.7,12.6,5.2,56,57.2,13,43.8,2,9.8,0.9,3.8,,,,,,,,,,,,,,,,,,,,,120,1.3,27,0.9,4.8
"Mürbeteig (mit pflanzlichem Fett), süss, ungebacken",pro 100g essbarer Anteil,1750,418,22.3,6.2,10.1,4.1,45,45.8,10.4,35,1.6,7.8,0.7,23,,,,,,,,,,,,,,,,,,,,,93,1,22,0.7,3.8
Mütschli,pro 100g essbarer Anteil,1080,255,0.8,0.2,0.1,0.4,0,51.8,0.7,50.2,2.5,8.7,1.7,36.8,,,,,,,,,,,,,,,,,,,,,60,0.6,0.9,0.5,1.9
"Nasi Goreng, zubereitet",pro 100g essbarer Anteil,527,125,1.8,0.3,1.1,0.3,23,16.1,0.7,13.5,0.5,10.8,1.3,70.9,,,,,,,,,,,,,,,,,,,,,120,0.3,1.3,0.7,k.A.
"Nektarine, roh",pro 100g essbarer Anteil,214,51,0.2,Sp.,Sp.,Sp.,0,10.2,10.2,Sp.,2.2,0.9,0,86,,,,,,,,,,,,,,,,,,,,,18,0.2,1,0.1,k.A.
Nussgipfel aus Blätterteig,pro 100g essbarer Anteil,1750,419,26.9,9.9,12.4,2.1,72,36.2,15.8,19.2,2.7,6.8,0.5,28.1,,,,,,,,,,,,,,,,,,,,,110,1.3,4.5,1,0.8
Nussgipfel aus Hefeteig,pro 100g essbarer Anteil,1330,318,12.6,3.3,6.8,1.4,39,41.9,18.4,22.6,2.7,7.7,0.7,35.7,,,,,,,,,,,,,,,,,,,,,120,1.1,4.2,0.9,0.1
"Nüsslisalat, roh",pro 100g essbarer Anteil,96,23,0.4,0.1,0,0.2,0,2,2,0,1.7,2,0,92.8,,,,,,,,,,,,,,,,,,,,,53,2.1,35,0.5,k.A.
Nussschnecke aus Hefeteig,pro 100g essbarer Anteil,1860,445,18.7,5.7,9.6,1.9,61,54.9,12.9,40.6,3.8,12.2,1.2,11.4,,,,,,,,,,,,,,,,,,,,,170,1.6,6.5,1.2,k.A.
"Ofen-Frites, tiefgekühlt",pro 100g essbarer Anteil,535,127,5,0.4,3.6,0.7,0,18.1,0.9,17.2,1.4,1.8,0,73.7,,,,,,,,,,,,,,,,,,,,,34,0.3,2.9,0.2,k.A.
